% Braching ratios for photo-ionization to various states of N2, data
% from Appendix 2, p 262, table A2.5, Physics and Chemistry of the
% Upper Atmosphere, M. H Rees 1989. 
% 
% l(A) X^2S_g, A^2Pi_u, B^2S^+_u, F^2S_u,  ^2S^+_g
  210    .271   .275     .110     .064     .278
  240    .271   .345     .110     .064     .210
  280    .271   .470     .095     .040     .124
  300    .271   .470     .110     .074     .075
  332    .300   .520     .120     .060     .000
  428    .460   .460     .080     .000     .000
  500    .404   .506     .090     .000     .000
  600    .308   .589     .103     .000     .000
  660    .308   .589     .103     .000     .000
  660.01 .308   .692     .0       .000     .000
  720    .420   .580     .000     .000     .000
  747   1.00    .000     .000     .000     .000
  796   1.00    .000     .000     .000     .000
